ds,y,confianza_promedio,dia_semana,es_inicio_mes,semana_mes
2025-02-24,146,0.9,1,0,4
2025-02-25,190,0.9,2,0,4
2025-02-26,169,0.8999999999999999,3,0,4
2025-02-27,129,0.9,4,0,4
2025-02-28,129,0.9,5,0,4
2025-03-03,188,0.9000000000000001,1,1,1
2025-03-04,167,0.9,2,1,1
2025-03-05,196,0.9,3,1,1
2025-03-06,138,0.9,4,0,1
2025-03-07,119,0.9,5,0,1
2025-03-10,176,0.9,1,0,2
2025-03-11,188,0.9000000000000001,2,0,2
2025-03-12,139,0.9,3,0,2
2025-03-13,165,0.9,4,0,2
2025-03-14,122,0.9,5,0,2
2025-03-17,158,0.9000000000000001,1,0,3
2025-03-18,167,0.9,2,0,3
2025-03-19,168,0.9000000000000001,3,0,3
2025-03-20,152,0.9,4,0,3
2025-03-21,117,0.9,5,0,3
2025-03-24,196,0.9,1,0,4
2025-03-25,183,0.9000000000000001,2,0,4
2025-03-26,173,0.9000000000000001,3,0,4
2025-03-27,167,0.9,4,0,4
2025-03-28,133,0.9,5,0,4
2025-03-31,215,0.9,1,0,5
2025-04-01,170,0.9,2,1,1
2025-04-02,183,0.9000000000000001,3,1,1
2025-04-03,153,0.9000000000000001,4,1,1
2025-04-04,121,0.9,5,1,1
2025-04-07,205,0.9,1,0,1
2025-04-08,189,0.9,2,0,2
2025-04-09,176,0.9,3,0,2
2025-04-10,165,0.9,4,0,2
2025-04-11,129,0.9,5,0,2
2025-04-14,199,0.9,1,0,2
2025-04-15,196,0.9,2,0,3
2025-04-16,138,0.9,3,0,3
2025-04-17,119,0.9,4,0,3
2025-04-18,8,0.9,5,0,3
2025-04-21,219,0.9,1,0,3
2025-04-22,191,0.9,2,0,4
2025-04-23,138,0.9,3,0,4
2025-04-24,158,0.9000000000000001,4,0,4
2025-04-25,134,0.9,5,0,4
2025-04-28,224,0.9,1,0,4
2025-04-29,195,0.9,2,0,5
2025-04-30,145,0.9,3,0,5
2025-05-01,4,0.9,4,1,1
2025-05-02,109,0.9000000000000001,5,1,1
2025-05-05,228,0.9,1,1,1
2025-05-06,160,0.9,2,0,1
2025-05-07,167,0.9,3,0,1
2025-05-08,151,0.9,4,0,2
2025-05-09,114,0.9,5,0,2
2025-05-12,180,0.9,1,0,2
2025-05-13,185,0.9,2,0,2
2025-05-14,166,0.9,3,0,2
2025-05-15,167,0.9,4,0,3
2025-05-16,138,0.9,5,0,3
2025-05-19,187,0.9,1,0,3
2025-05-20,157,0.9,2,0,3
